Vivado Simulator 2016.2
Time resolution is 1 ps
i=xxxx, x=xxxxxxxxxxxxxxxx, y=xxxxxxxxxxxxxxxx, z=xxxxxxxxxxxxxxxx
i=0001, x=0000000000000100, y=0000000000000100, z=0000000000000000
i=0001, x=0000000000000010, y=0000000000000010, z=0000000000000000
i=0001, x=0000000000000001, y=0000000000000001, z=0000000000000000
i=0001, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=0010, x=0001001101101111, y=0011101001001011, z=1110001001010100
i=0010, x=0000100110110111, y=0001110100100101, z=0111000100101010
i=0010, x=0000010011011011, y=0000111010010010, z=0011100010010101
i=0010, x=0000001001101101, y=0000011101001001, z=0001110001001010
i=0010, x=0000000100110110, y=0000001110100100, z=0000111000100101
i=0010, x=0000000010011011, y=0000000111010010, z=0000011100010010
i=0010, x=0000000001001101, y=0000000011101001, z=0000001110001001
i=0010, x=0000000000100110, y=0000000001110100, z=0000000111000100
i=0010, x=0000000000010011, y=0000000000111010, z=0000000011100010
i=0010, x=0000000000001001, y=0000000000011101, z=0000000001110001
i=0010, x=0000000000000100, y=0000000000001110, z=0000000000111000
i=0010, x=0000000000000010, y=0000000000000111, z=0000000000011100
i=0010, x=0000000000000001, y=0000000000000011, z=0000000000001110
i=0010, x=0000000000000000, y=0000000000000001, z=0000000000000111
i=0010, x=0000000000000000, y=0000000000000000, z=0000000000000011
i=0010, x=0000000000000000, y=0000000000000000, z=0000000000000001
i=0010, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=0011, x=0010001000000001, y=0011010101110000, z=1111001000000010
i=0011, x=0001000100000000, y=0001101010111000, z=0111100100000001
i=0011, x=0000100010000000, y=0000110101011100, z=0011110010000000
i=0011, x=0000010001000000, y=0000011010101110, z=0001111001000000
i=0011, x=0000001000100000, y=0000001101010111, z=0000111100100000
i=0011, x=0000000100010000, y=0000000110101011, z=0000011110010000
i=0011, x=0000000010001000, y=0000000011010101, z=0000001111001000
i=0011, x=0000000001000100, y=0000000001101010, z=0000000111100100
i=0011, x=0000000000100010, y=0000000000110101, z=0000000011110010
i=0011, x=0000000000010001, y=0000000000011010, z=0000000001111001
i=0011, x=0000000000001000, y=0000000000001101, z=0000000000111100
i=0011, x=0000000000000100, y=0000000000000110, z=0000000000011110
i=0011, x=0000000000000010, y=0000000000000011, z=0000000000001111
i=0011, x=0000000000000001, y=0000000000000001, z=0000000000000111
i=0011, x=0000000000000000, y=0000000000000000, z=0000000000000011
i=0011, x=0000000000000000, y=0000000000000000, z=0000000000000001
i=0011, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=0100, x=0010100010101111, y=0011000100110000, z=1111100111110111
i=0100, x=0001010001010111, y=0001100010011000, z=0111110011111011
i=0100, x=0000101000101011, y=0000110001001100, z=0011111001111101
i=0100, x=0000010100010101, y=0000011000100110, z=0001111100111110
i=0100, x=0000001010001010, y=0000001100010011, z=0000111110011111
i=0100, x=0000000101000101, y=0000000110001001, z=0000011111001111
i=0100, x=0000000010100010, y=0000000011000100, z=0000001111100111
i=0100, x=0000000001010001, y=0000000001100010, z=0000000111110011
i=0100, x=0000000000101000, y=0000000000110001, z=0000000011111001
i=0100, x=0000000000010100, y=0000000000011000, z=0000000001111100
i=0100, x=0000000000001010, y=0000000000001100, z=0000000000111110
i=0100, x=0000000000000101, y=0000000000000110, z=0000000000011111
i=0100, x=0000000000000010, y=0000000000000011, z=0000000000001111
i=0100, x=0000000000000001, y=0000000000000001, z=0000000000000111
i=0100, x=0000000000000000, y=0000000000000000, z=0000000000000011
i=0100, x=0000000000000000, y=0000000000000000, z=0000000000000001
i=0100, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=0101, x=0010101111000010, y=0010111010100110, z=1111110111110110
i=0101, x=0001010111100001, y=0001011101010011, z=0111111011111011
i=0101, x=0000101011110000, y=0000101110101001, z=0011111101111101
i=0101, x=0000010101111000, y=0000010111010100, z=0001111110111110
i=0101, x=0000001010111100, y=0000001011101010, z=0000111111011111
i=0101, x=0000000101011110, y=0000000101110101, z=0000011111101111
i=0101, x=0000000010101111, y=0000000010111010, z=0000001111110111
i=0101, x=0000000001010111, y=0000000001011101, z=0000000111111011
i=0101, x=0000000000101011, y=0000000000101110, z=0000000011111101
